0.917   0.840   0.017
0.909   0.833   0.017
0.945   0.866   0.009
0.938   0.859   0.009
0.925   0.846   0.013
0.908   0.829   0.015
0.930   0.851   0.002
0.889   0.810   0.003
0.847   0.772   0.004
0.789   0.713   0.006
0.715   0.633   0.018
0.646   0.572   0.006
0.597   0.516   0.013
0.498   0.425   0.023
0.413   0.331   0.056
0.413   0.331   0.056
0.588   0.510   0.023
0.917   0.840   0.017
0.909   0.833   0.017
0.945   0.866   0.009
0.938   0.859   0.009
0.925   0.846   0.013
0.908   0.829   0.015
0.930   0.851   0.002
0.889   0.810   0.003
0.847   0.772   0.004
0.789   0.713   0.006
0.715   0.633   0.018
0.646   0.572   0.006
0.597   0.516   0.013
0.498   0.425   0.023 
